Film ,Major_Studio,Rotten_Tomatoes,Audience_Score,Genre,Domestic_Gross,Foreign_Gross,Worldwide_Gross,Budget,Profitability,Oscar,Release_time
Next,Paramount,29,59,Thriller,18.21,55.33,73.54,70,105.06,0,2007
No Country for Old Men,Paramount,95,84,Drama,74.28,86.72,161,25,644,1,2007
No Reservations,CBS,39,64,Comedy,43.11,49.49,92.6,28,330.72,0,2007
Norbit,Paramount,9,56,Comedy,95.67,63.64,159.31,60,265.52,0,2007
Ocean's 13,Warner Bros.,70,74,Thriller,117.15,194.16,311.31,85,366.25,0,2007
P.S. I Love You,Independent,21,82,Romance,53.7,99.4,153.09,30,510.31,0,2007
Pathfinder: Legend of the Ghost Warrior,20th Century Fox,11,41,Action,10.23,20.59,30.82,26,118.55,0,2007
Pirates of the Caribbean: At World's End,Disney,45,74,Action,309.42,651.58,961,300,320.33,0,2007
Premonition,Sony,8,55,Drama,47.85,36.14,84,20,419.98,0,2007
Ratatouille,Disney,97,84,Animation,206.45,414.98,621.42,150,414.28,1,2007
Rush Hour 3,Warner Bros.,20,68,Action,140.13,117.9,258.02,140,184.3,0,2007
Saw IV,Independent,18,70,Horror,63.3,76.05,139.35,10,1393.53,0,2007
Shoot 'Em Up,Warner Bros.,67,66,Action,12.81,14,26.81,39,68.74,0,2007
Shooter,Paramount,47,82,Action,47,48.69,95.7,61,156.88,0,2007
Shrek the Third,Paramount,42,57,Animation,322.72,476.24,798.96,160,499.35,0,2007
Sicko,The Weinstein Company,93,87,Documentary,24.54,11.23,35.77,9,397.42,0,2007
Smokin' Aces,Universal,27,64,Action,35.79,21.32,57.1,17,335.91,0,2007
Spider-Man 3,Sony,61,54,Action,336.53,554.34,890.87,258,345.3,0,2007
Stardust,Paramount,76,86,Adventure,38.63,96.92,135.56,70,193.66,0,2007
Stomp the Yard,Independent,27,83,Musical,61.36,14.15,75.51,14,539.37,0,2007
Superbad,Sony,88,87,Comedy,121.46,48.41,169.87,20,849.36,0,2007
Surf's Up,Sony,78,64,Animation,58.87,90.18,149.04,85,175.35,0,2007
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,81,Musical,52.9,99.63,152.52,50,305.05,0,2007
The Bourne Ultimatum,Universal,93,91,Thriller,227.47,215.35,442.82,110,402.57,0,2007
The Brave One,Aardman Animations,43,65,Action,36.79,32.99,69.79,70,99.7,0,2007
The Bucket List,Warner Bros.,41,81,Drama,93.47,80.84,174.31,45,387.36,0,2007
The Darjeeling Limited,Fox,67,79,Drama,11.9,23.02,34.92,17.5,199.53,0,2007
The Game Plan,Disney,27,75,Comedy,90.64,57.23,147.87,22,672.13,0,2007
The Golden Compass,Warner Bros.,42,55,Action,70.11,302.13,372.23,180,206.8,0,2007
The Heartbreak Kid,Paramount,30,41,Comedy,36.79,90.98,127.77,60,212.94,0,2007
The Hills Have Eyes 2,Independent,11,50,Horror,20.8,16.66,37.47,15,249.77,0,2007
The Invasion,Warner Bros.,19,43,Sci-Fi,15.07,25.1,40.17,80,50.21,0,2007
The Kingdom,Disney,52,78,Action,47.54,39.07,86.61,80,108.26,0,2007
The Kite Runner,Paramount,66,85,Drama,15.8,57.39,73.19,20,365.97,0,2007
The Mist,The Weinstein Company,72,64,Horror,25.59,31.24,56.83,18,315.72,0,2007
The Nanny Diaries,The Weinstein Company,33,52,Comedy,25.93,21.07,47,20,235,0,2007
The Reaping,Relativity Media,9,53,Horror,25.13,37.64,62.77,40,156.93,0,2007
The Simpsons Movie,Fox,90,78,Comedy,183.14,343.93,527.07,75,702.76,0,2007
There Will Be Blood,Paramount,91,84,Drama,40.22,35.96,76.18,25,304.73,1,2007
